"keyPhotoID","OutcropPhoto","Photomicrograph","CLImage","OtherImage","TSOverview","OtherDocument","WayptIDKey","MacrostructureID","SampleIDKey","TSDescID","PhotoLinkRelative2"
1498,0,0,0,0,1,0,830,279,269,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_106_thick.jpg"
1499,0,0,0,0,1,0,830,279,269,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_106_Thin.jpg"
1500,0,0,0,0,1,0,832,280,270,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_107a_thick.jpg"
1501,0,0,0,0,1,0,832,280,270,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_107A_Thin.jpg"
1502,0,0,0,0,1,0,832,280,276,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_107b_thick.jpg"
1503,0,0,0,0,1,0,832,280,276,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_107B_thin.jpg"
1504,0,0,0,0,1,0,836,281,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_108_thick.jpg"
1505,0,0,0,0,1,0,836,281,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_108_Thin.jpg"
1506,0,0,0,0,1,0,838,282,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_109a_thick.jpg"
1507,0,0,0,0,1,0,838,282,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_109A_Thin.jpg"
1508,0,0,1,0,0,0,720,221,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_1A_CL.JPG"
1509,0,0,0,0,1,0,720,221,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_1a_thick.jpg"
1510,0,0,0,0,1,0,720,221,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_1A_Thin.jpg"
1511,0,0,0,0,1,0,720,221,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_1B_Thin.jpg"
1512,0,0,1,0,0,0,720,221,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_1C_CL.JPG"
1513,0,0,0,0,1,0,720,221,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_1C_NoCL.JPG"
1514,0,0,0,0,1,0,720,221,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_1c_thick.jpg"
1515,0,0,0,0,1,0,720,221,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_1C_Thin.jpg"
1516,0,0,1,0,0,0,721,222,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_2A_CL.JPG"
1517,0,0,0,0,1,0,721,222,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_2a_thick.jpg"
1518,0,0,0,0,1,0,721,222,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_2A_Thin.jpg"
1519,0,0,1,0,0,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_4A_CL.JPG"
1520,0,0,0,0,1,0,741,267,282,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_4A_NoCL.JPG"
